disease,death,confirmed_cases,url
Rift Valley fever,"394
",Outbreaks in Africa and ,/wiki/Rift_Valley_fever
Dengue fever,"~40,000 (2017)",390 million per year,/wiki/Dengue_fever
Lassa fever,"5,000 deaths per year","400,000 cases per year",/wiki/Lassa_fever
Measles,"140,000+ (2018)",20 million per year,/wiki/Measles
Yellow Fever,"5,100 (2015)","~127,000 severe cases (2013)",/wiki/Yellow_Fever
Coronavirus disease 2019 / COVID-19,"3,202,699","152,875,042",/wiki/Coronavirus_disease_2019
Carbapenem-resistant enterobacteriaceae,"31 (as of September 2019)
",N/A,/wiki/Carbapenem-resistant_enterobacteriaceae
Ebola,"2,280
",N/A,/wiki/Ebola
Ebola,"55
",N/A,/wiki/Ebola
Japanese encephalitis,"17,000","68,000",/wiki/Japanese_encephalitis
Seasonal influenza,"61,000 (46,000–95,000)",N/A,/wiki/Seasonal_influenza
New Delhi metallo-beta-lactamase,"31 (as of September 2019)
",N/A,/wiki/New_Delhi_metallo-beta-lactamase_1
Nipah virus infection,~50 to 75% risk of death,~701 human cases (1998 to May 2018),/wiki/Nipah_virus_infection
Cholera,"28,800 (2015)",3–5 million people a year,/wiki/Cholera
Influenza A virus subtype H1N1,"2,035
",N/A,/wiki/Influenza_A_virus_subtype_H1N1
Zika virus,"53
",N/A,/wiki/Zika_virus
Hepatitis E,"36
",28 million worldwide (2013),/wiki/Hepatitis_E
Hepatitis A,"11,200",114 million symptomatic and nonsymptomatic (2015),/wiki/Hepatitis_A
Bubonic plague,10% mortality with treatment,650 cases reported a year,/wiki/Bubonic_plague
Influenza A virus subtype H7N9,"616
",N/A,/wiki/Influenza_A_virus_subtype_H7N9
Chikungunya,"183
",> 1 million (2014),/wiki/Chikungunya
Middle East respiratory syndrome / MERS-CoV,885 (34%),2574 cases (as of March 2021),/wiki/Middle_East_respiratory_syndrome
Influenza A virus subtype H1N1,"Lab confirmed deaths: 18,449 (reported to the ",N/A,/wiki/Influenza_A_virus_subtype_H1N1
"Hand, foot and mouth disease","170
",As outbreaks,"/wiki/Hand,_foot_and_mouth_disease"
Meningitis,"288,000 (2017)",10.6 million (2017),/wiki/Meningitis
Ebola,"11,323+
",N/A,/wiki/Ebola
Hepatitis B,"65,400 direct (2015), >750,000 (total)",>391 million (2017),/wiki/Hepatitis_B
"Hand, foot, and mouth disease","3,322+
",As outbreaks,"/wiki/Hand,_foot,_and_mouth_disease"
Q-fever,"95
",N/A,/wiki/Q-fever
Ebola,"37
",N/A,/wiki/Ebola
Ebola,"187
",N/A,/wiki/Ebola
Malaria,"405,000 in 2018",228 million (2018),/wiki/Malaria
Influenza A virus subtype H5N1,"455
",N/A,/wiki/Influenza_A_virus_subtype_H5N1
Severe acute respiratory syndrome / SARS,774 known,"8,098 cases",/wiki/Severe_acute_respiratory_syndrome
Leishmaniasis,"24,200 (2015)",4–12 million,/wiki/Leishmaniasis
Variant Creutzfeldt–Jakob disease / vCJD,"178
",Fewer than 250 reported cases as of 2012,/wiki/Variant_Creutzfeldt%E2%80%93Jakob_disease
Pneumonic plague,"56
",Rare,/wiki/Pneumonic_plague
Ebola,"7
",N/A,/wiki/Ebola
El Tor strain,"24
",N/A,/wiki/El_Tor
Influenza A virus subtype H3N2,"1,027
",N/A,/wiki/Influenza_A_virus_subtype_H3N2
HIV/AIDS,32.7 million total deaths,55.9 million – 100 million total cases,/wiki/HIV/AIDS
Influenza A virus subtype H3N2,"1–4 million
",N/A,/wiki/Influenza_A_virus_subtype_H3N2
El Tor strain,"Unknown
",N/A,/wiki/El_Tor
Poliomyelitis,"5
",136 people (2018),/wiki/Poliomyelitis
Influenza A virus subtype H1N1,"700,000
",N/A,/wiki/Influenza_A_virus_subtype_H1N1
Anthrax,"105
",">2,000 cases per year",/wiki/Anthrax
Smallpox,"15,000
", (last wild case in 1977),/wiki/Smallpox
Smallpox,"35
", (last wild case in 1977),/wiki/Smallpox
